id	name	source	reference	confidence	roles
cpx00157	mscpx.157	ModelSEED	null	1.0	ftr02482;triggering;0;1
cpx00158	mscpx.158	ModelSEED	null	1.0	null
cpx00159	mscpx.159	ModelSEED	null	1.0	ftr02565;triggering;0;1
cpx00160	mscpx.160	ModelSEED	null	1.0	ftr00197;triggering;0;1
cpx00161	mscpx.161	ModelSEED	null	1.0	ftr10014;triggering;0;1
cpx00162	mscpx.162	ModelSEED	null	1.0	ftr09443;triggering;0;1
cpx00163	mscpx.163	ModelSEED	null	1.0	ftr01567;triggering;0;1
cpx00164	mscpx.164	ModelSEED	null	1.0	ftr01561;triggering;0;1
cpx00165	mscpx.165	ModelSEED	null	1.0	ftr01560;triggering;0;1
cpx00166	mscpx.166	ModelSEED	null	1.0	ftr09333;triggering;0;1
cpx00167	mscpx.167	ModelSEED	null	1.0	ftr09515;triggering;0;1|ftr09514;triggering;0;1
cpx00168	mscpx.168	ModelSEED	null	1.0	ftr08306;triggering;0;1
cpx00169	mscpx.169	ModelSEED	null	1.0	ftr02769;triggering;0;1
cpx00170	mscpx.170	ModelSEED	null	1.0	ftr09455;triggering;0;1
cpx00171	mscpx.171	ModelSEED	null	1.0	ftr09927;triggering;0;1
cpx00172	mscpx.172	ModelSEED	null	1.0	ftr09928;triggering;0;1
cpx00173	mscpx.173	ModelSEED	null	1.0	ftr06897;triggering;0;1
cpx00174	mscpx.174	ModelSEED	null	1.0	ftr06307;triggering;0;1
cpx00175	mscpx.175	ModelSEED	null	1.0	ftr09094;triggering;0;1
cpx00176	mscpx.176	ModelSEED	null	1.0	ftr08641;triggering;0;1
cpx00177	mscpx.177	ModelSEED	null	1.0	ftr08640;triggering;0;1
cpx00178	mscpx.178	ModelSEED	null	1.0	ftr08642;triggering;0;1
cpx00179	mscpx.179	ModelSEED	null	1.0	ftr04195;triggering;0;1
cpx00180	mscpx.180	ModelSEED	null	1.0	ftr01637;triggering;0;1
cpx00181	mscpx.181	ModelSEED	null	1.0	ftr09924;triggering;0;1
cpx00182	mscpx.182	ModelSEED	null	1.0	ftr03814;triggering;0;1
